pre,obs
26.593561455,19.43139
24.890793218,23.49191
21.600484755,22.23514
29.48894692,24.99683
27.62411344,26.69221
24.968727938,30.13823
31.38970326,32.58147
33.427084811,36.3231
26.932906096,28.1826
25.697571451,24.01147
23.801577662,14.03447
22.245984874,15.33133
16.847808986,10.54554
26.056472999,28.53586
16.898341699,20.3915
19.709173277,30.16965
14.730773802,14.91053
20.178858835,14.23066
19.878124629,8.56047
24.906114066,36.95356
25.486641978,34.30356
19.522959637,22.42753
21.727548519,12.67625
21.634797418,11.23509
13.73511506,7.84545
30.933635017,33.65236
33.888965655,40.42533
25.847023077,31.55846
29.447048578,36.4837
22.740600422,27.6504
24.806344781,31.16719
25.486225415,33.76035
26.097463932,31.61332
21.460665912,23.31813
21.914781561,25.78029
21.938920144,24.66922
