pre,obs
2.577314,2.544
3.98959,4.831
5.645253,6.121
13.125101,10.96
4.955917,5.767
6.6878,8.222
9.114847,9.62
16.512825,14.659
1.438273,1.908
3.319895,3.653
4.762717,6.052
11.741026,11.95
2.023163,2.200887
2.932667,3.9
7.935221,10.5
11.750514,11.8
3.847979,5.2
4.517156,7.1
6.228802,7.6
6.617402,9.2
1.911896,1.66
8.123972,6.89
10.738744,11.06
18.046008,16.7
3.616677,3.62
5.572159,5.76
6.284312,4.25
7.528386,4.27
6.86063,4.52
8.988585,6.66
6.942711,5.55
9.159802,6.7
6.925389,6.64
9.704064,9.24
4.104142,2.89
7.137914,4.72
4.303699,3.52
7.628674,6.42
4.42331,3.41
7.857125,5.7
4.423558,4.67
7.885223,7.18
5.621999,5.12
6.81115,5.46
5.951455,5.48
7.434794,7.1
5.952454,6.7
7.455695,6.81
6.119203,6.24
7.628204,8.82
2.807885,3.35
5.285433,3.8
3.459913,4.28
5.97247,5.16
3.642033,3.78
6.162989,5.78
3.685186,3.6
3.685186,3.67
6.243979,6.54
9.344628,11.1886
16.127676,16.1616
18.418344,16.4755
18.491323,17.2856
18.491323,18.0012
11.453815,13.9492
13.838452,14.2548
2.658248,2.21
3.895808,5.03
5.155079,5.56
5.155079,6.95
6.268257,9.53
13.735536,15.646585
13.788709,14.484764
13.809525,14.167951
11.943679,11.854816
13.813069,13.945534
13.839207,12.741856
13.33263,12.544658
12.556451,10.967075
8.625081,10.117513
7.444204,9.501226
14.035224,14.232925
14.062302,13.494921
14.059539,12.45359
14.070932,11.695271
13.649652,13.523643
13.260891,12.135377
10.63217,11.575482
10.578913,9.52662
9.964529,10.741681
9.45052,10.415762
5.144812,9.065674
5.131716,7.162172
12.585638,15.750088
12.225089,15.323993
11.445328,14.028722
9.196051,12.273555
12.231091,14.692644
11.901191,13.5
11.005855,12.97986
9.925708,12.250088
7.074157,10.662872
5.516056,9.200525
12.425292,14.914886
12.151975,14.297548
11.998396,13.379335
11.81016,12.577933
10.567473,13.558319
10.567473,13.166375
8.922865,11.180385
8.914773,9.836427
8.301351,12.022592
8.140304,10.17373
4.779602,8.002802
4.443511,5.532399
7.274467,6.696212
6.544193,4.407653
18.971536,19.779331
7.971008,12.919347
8.698613,9.710679
8.193061,6.947284
6.747515,5.7988
9.38842,8.853
10.218481,8.4816
10.877851,8.835
7.574779,7.5075
8.50048,7.9833
4.266492,6.1
4.770329,5.7
9.21126,8
5.611272,6
7.046243,7.1
3.724245,2
4.181399,2.9
7.225307,6.1
4.886429,3.7
5.985899,4.7
